artist,album,track_title,track_n,line,word
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,1,nights
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,1,wind
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,1,cold
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,2,body
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,2,froze
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,2,bed
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,3,listened
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,4,window
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,5,days
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,5,sun
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,5,cruel
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,6,tears
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,6,dust
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,7,eyes
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,8,drying
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,8,forever
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,9,finished
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,9,crying
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,9,instant
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,9,left
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,10,remember
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,11,banished
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,11,memory
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,12,touch
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,13,hold
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,14,admit
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,15,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,16,touch
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,17,hold
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,18,hard
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,19,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,20,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,20,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,21,moments
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,21,gold
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,22,flashes
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,22,light
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,25,nights
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,25,endless
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,25,pleasure
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,26,laws
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,27,baby
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,27,baby
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,28,kiss
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,29,whisper
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,30,lost
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,30,ago
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,31,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,34,dead
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,34,ago
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,35,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,36,hard
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,36,resist
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,37,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,38,barely
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,38,recall
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,39,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,40,history
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,40,slamming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,40,door
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,41,strong
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,42,wasted
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,42,time
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,43,touch
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,44,kiss
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,45,ago
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,46,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,47,touch
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,48,kiss
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,49,wind
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,50,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,51,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,51,coming
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,52,moments
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,52,gold
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,53,flashes
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,53,light
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,56,nights
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,56,endless
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,56,pleasure
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,57,laws
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,58,baby
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,58,baby
Céline Dion,All the Way... A Decade of Song,It's All Coming Back to Me Now (Radio Version),5,58,baby
