track_title,track_n,line,word
Shanti/Ashtangi,8,33,cakrasi
Shanti/Ashtangi,8,34,dharinam
Shanti/Ashtangi,8,34,ha
Shanti/Ashtangi,8,34,rinam
Shanti/Ashtangi,8,35,sahasra
Shanti/Ashtangi,8,35,hasra
Shanti/Ashtangi,8,35,sirasam
Shanti/Ashtangi,8,36,dharinam
Shanti/Ashtangi,8,36,ha
Shanti/Ashtangi,8,36,rinam
Shanti/Ashtangi,8,37,sahasra
Shanti/Ashtangi,8,37,hasra
Shanti/Ashtangi,8,37,sirasam
Shanti/Ashtangi,8,38,vande
Shanti/Ashtangi,8,39,om
Shanti/Ashtangi,8,39,shanti
Shanti/Ashtangi,8,40,om
Shanti/Ashtangi,8,40,shanti
Shanti/Ashtangi,8,41,shanti
Shanti/Ashtangi,8,41,shanti
Shanti/Ashtangi,8,42,shante
Shanti/Ashtangi,8,42,om
Shanti/Ashtangi,8,43,om
Shanti/Ashtangi,8,43,shanti
Shanti/Ashtangi,8,44,om
Shanti/Ashtangi,8,44,shanti
Shanti/Ashtangi,8,45,shanti
Shanti/Ashtangi,8,45,shanti
Shanti/Ashtangi,8,46,shante
Shanti/Ashtangi,8,46,om
Shanti/Ashtangi,8,47,om
Shanti/Ashtangi,8,47,shanti
Shanti/Ashtangi,8,48,om
Shanti/Ashtangi,8,48,shanti
Shanti/Ashtangi,8,49,shanti
Shanti/Ashtangi,8,49,shanti
Shanti/Ashtangi,8,50,shante
Shanti/Ashtangi,8,50,om
Frozen,9,1,eyes
Frozen,9,2,life
Frozen,9,3,frozen
Frozen,9,4,heart's
Frozen,9,5,consumed
Frozen,9,6,waste
Frozen,9,6,time
Frozen,9,6,hate
Frozen,9,6,regret
Frozen,9,7,broken
Frozen,9,8,heart's
Frozen,9,9,mmmmmm
Frozen,9,9,melt
Frozen,9,9,heart
Frozen,9,10,mmmmmm
Frozen,9,11,mmmmmm
Frozen,9,12,mmmmmm
Frozen,9,12,hold
Frozen,9,12,key
Frozen,9,13,placing
Frozen,9,13,blame
Frozen,9,14,suffer
Frozen,9,15,lose
Frozen,9,16,heart
Frozen,9,16,broken
Frozen,9,17,love
Frozen,9,17,bird
Frozen,9,17,fly
Frozen,9,18,hurt
Frozen,9,18,inside
Frozen,9,18,die
Frozen,9,19,frozen
Frozen,9,20,heart's
Frozen,9,21,mmmmmm
Frozen,9,21,melt
Frozen,9,21,heart
Frozen,9,22,mmmmmm
Frozen,9,23,mmmmmm
Frozen,9,24,mmmmmm
Frozen,9,24,hold
Frozen,9,24,key
Frozen,9,25,eyes
Frozen,9,26,life
Frozen,9,27,frozen
Frozen,9,28,heart's
Frozen,9,29,mmmmmm
Frozen,9,29,melt
Frozen,9,29,heart
Frozen,9,30,mmmmmm
Frozen,9,31,mmmmmm
Frozen,9,32,mmmmmm
Frozen,9,32,hold
Frozen,9,32,key
Frozen,9,33,melt
Frozen,9,33,heart
Frozen,9,34,mmmmmm
Frozen,9,35,mmmmmm
Frozen,9,36,mmmmmm
Frozen,9,36,hold
Frozen,9,36,key
Frozen,9,37,melt
Frozen,9,37,heart
The Power of Good-Bye,10,1,heart
The Power of Good-Bye,10,2,spell
The Power of Good-Bye,10,2,broken
The Power of Good-Bye,10,2,loved
The Power of Good-Bye,10,3,freedom
The Power of Good-Bye,10,3,learn
The Power of Good-Bye,10,4,creation
The Power of Good-Bye,10,4,learn
The Power of Good-Bye,10,5,lesson
The Power of Good-Bye,10,5,learn
The Power of Good-Bye,10,6,fortress
The Power of Good-Bye,10,6,burn
The Power of Good-Bye,10,7,pain
The Power of Good-Bye,10,7,warning
The Power of Good-Bye,10,7,something's
The Power of Good-Bye,10,7,wrong
The Power of Good-Bye,10,8,pray
The Power of Good-Bye,10,8,god
The Power of Good-Bye,10,9,wanna
The Power of Good-Bye,10,10,left
The Power of Good-Bye,10,11,left
The Power of Good-Bye,10,11,hide
The Power of Good-Bye,10,12,power
The Power of Good-Bye,10,13,power
The Power of Good-Bye,10,13,bye
The Power of Good-Bye,10,14,heart
The Power of Good-Bye,10,15,spell
The Power of Good-Bye,10,15,broken
The Power of Good-Bye,10,15,loved
The Power of Good-Bye,10,16,lesson
The Power of Good-Bye,10,16,learn
The Power of Good-Bye,10,17,fortress
The Power of Good-Bye,10,18,left
The Power of Good-Bye,10,18,lose
The Power of Good-Bye,10,19,heart
The Power of Good-Bye,10,19,bruise
The Power of Good-Bye,10,20,power
The Power of Good-Bye,10,21,power
The Power of Good-Bye,10,21,bye
The Power of Good-Bye,10,22,learn
The Power of Good-Bye,10,22,bye
The Power of Good-Bye,10,23,yearn
The Power of Good-Bye,10,23,bye
The Power of Good-Bye,10,24,left
The Power of Good-Bye,10,25,hide
The Power of Good-Bye,10,26,power
The Power of Good-Bye,10,27,power
The Power of Good-Bye,10,27,bye
The Power of Good-Bye,10,28,left
The Power of Good-Bye,10,28,lose
The Power of Good-Bye,10,29,heart
The Power of Good-Bye,10,29,bruise
The Power of Good-Bye,10,30,power
The Power of Good-Bye,10,31,power
The Power of Good-Bye,10,31,bye
To Have and Not to Hold,11,1,hold
To Have and Not to Hold,11,2,hot
To Have and Not to Hold,11,2,cold
To Have and Not to Hold,11,3,heart
To Have and Not to Hold,11,3,hand
To Have and Not to Hold,11,4,stand
To Have and Not to Hold,11,5,close
To Have and Not to Hold,11,6,love
To Have and Not to Hold,11,7,laugh
To Have and Not to Hold,11,7,weep
To Have and Not to Hold,11,8,eyes
To Have and Not to Hold,11,10,stay
To Have and Not to Hold,11,11,moth
To Have and Not to Hold,11,11,flame
To Have and Not to Hold,11,12,blame
To Have and Not to Hold,11,13,da
To Have and Not to Hold,11,15,da
To Have and Not to Hold,11,16,straight
To Have and Not to Hold,11,17,da
To Have and Not to Hold,11,18,told
To Have and Not to Hold,11,18,mmm
To Have and Not to Hold,11,19,hold
To Have and Not to Hold,11,19,abahu
To Have and Not to Hold,11,19,purusakaram
To Have and Not to Hold,11,19,abahu
To Have and Not to Hold,11,19,purusakaram
To Have and Not to Hold,11,21,kiss
To Have and Not to Hold,11,22,object
To Have and Not to Hold,11,22,desire
To Have and Not to Hold,11,23,walking
To Have and Not to Hold,11,23,wire
To Have and Not to Hold,11,25,break
To Have and Not to Hold,11,25,fall
To Have and Not to Hold,11,26,moth
To Have and Not to Hold,11,26,flame
To Have and Not to Hold,11,27,blame
To Have and Not to Hold,11,28,da
To Have and Not to Hold,11,30,da
To Have and Not to Hold,11,31,straight
To Have and Not to Hold,11,32,da
To Have and Not to Hold,11,33,told
To Have and Not to Hold,11,33,mmm
To Have and Not to Hold,11,34,hold
To Have and Not to Hold,11,34,abahu
To Have and Not to Hold,11,34,purusakaram
To Have and Not to Hold,11,35,hold
To Have and Not to Hold,11,35,abahu
To Have and Not to Hold,11,35,purusakaram
To Have and Not to Hold,11,37,hold
To Have and Not to Hold,11,38,moth
To Have and Not to Hold,11,38,flame
To Have and Not to Hold,11,39,blame
To Have and Not to Hold,11,40,da
To Have and Not to Hold,11,42,da
To Have and Not to Hold,11,43,straight
To Have and Not to Hold,11,44,da
To Have and Not to Hold,11,45,told
To Have and Not to Hold,11,45,mmm
To Have and Not to Hold,11,46,hold
To Have and Not to Hold,11,46,abahu
To Have and Not to Hold,11,46,purusakaram
To Have and Not to Hold,11,47,hold
To Have and Not to Hold,11,47,abahu
To Have and Not to Hold,11,47,purusakaram
To Have and Not to Hold,11,48,hold
To Have and Not to Hold,11,51,hold
To Have and Not to Hold,11,52,break
To Have and Not to Hold,11,52,heart
To Have and Not to Hold,11,53,mmm
To Have and Not to Hold,11,54,blame
To Have and Not to Hold,11,55,blame
To Have and Not to Hold,11,56,blame
To Have and Not to Hold,11,57,abahu
To Have and Not to Hold,11,57,purusakaram
To Have and Not to Hold,11,58,abahu
To Have and Not to Hold,11,58,purusakaram
Little Star,12,1,forget
Little Star,12,2,star
Little Star,12,3,forget
Little Star,12,3,dream
Little Star,12,4,butterfly
Little Star,12,5,god
Little Star,12,6,flesh
Little Star,12,6,bones
Little Star,12,7,life
Little Star,12,7,soul
Little Star,12,8,spirit
Little Star,12,9,forget
Little Star,12,10,star
Little Star,12,11,shining
Little Star,12,11,brighter
Little Star,12,11,stars
Little Star,12,11,sky
Little Star,12,12,forget
Little Star,12,12,dream
Little Star,12,13,butterfly
Little Star,12,14,forget
Little Star,12,15,love
Little Star,12,16,treasure
Little Star,12,17,star
Little Star,12,18,breathe
Little Star,12,18,life
Little Star,12,19,broken
Little Star,12,19,heart
Little Star,12,20,forget
Little Star,12,21,star
Little Star,12,22,forget
Little Star,12,22,dream
Little Star,12,23,butterfly
Little Star,12,24,angels
Little Star,12,24,protect
Little Star,12,25,sadness
Little Star,12,25,forget
Little Star,12,26,star
Little Star,12,27,reason
Little Star,12,27,weep
Little Star,12,28,lay
Little Star,12,28,head
Little Star,12,28,sleep
Little Star,12,29,star
Little Star,12,30,goodness
Little Star,12,30,surround
Little Star,12,31,love
Little Star,12,31,found
Little Star,12,32,star
Little Star,12,33,shining
Little Star,12,33,bright
Little Star,12,34,star
Little Star,12,35,breathe
Little Star,12,35,life
Little Star,12,36,broken
Little Star,12,36,heart
Little Star,12,37,forget
Little Star,12,38,star
Little Star,12,39,shining
Little Star,12,39,brighter
Little Star,12,39,stars
Little Star,12,39,sky
Little Star,12,40,forget
Little Star,12,40,dream
Little Star,12,41,butterfly
Little Star,12,42,flying
Little Star,12,42,birds
Little Star,12,42,sky
Little Star,12,43,forget
Little Star,12,44,star
Little Star,12,45,forget
Little Star,12,46,love
Little Star,12,47,star
Little Star,12,48,star
Little Star,12,49,star
Little Star,12,50,love
Mer Girl,13,1,ran
Mer Girl,13,1,house
Mer Girl,13,3,mother
Mer Girl,13,3,haunts
Mer Girl,13,4,daughter
Mer Girl,13,4,sleeps
Mer Girl,13,5,ran
Mer Girl,13,5,noise
Mer Girl,13,5,silence
Mer Girl,13,6,traffic
Mer Girl,13,6,streets
Mer Girl,13,7,ran
Mer Girl,13,7,treetops
Mer Girl,13,7,ran
Mer Girl,13,7,sky
Mer Girl,13,8,lake
Mer Girl,13,8,rain
Mer Girl,13,8,matted
Mer Girl,13,8,hair
Mer Girl,13,9,soaked
Mer Girl,13,9,shoes
Mer Girl,13,9,skin
Mer Girl,13,10,hid
Mer Girl,13,10,tears
Mer Girl,13,10,hid
Mer Girl,13,10,fears
Mer Girl,13,11,ran
Mer Girl,13,11,forest
Mer Girl,13,11,ran
Mer Girl,13,11,trees
Mer Girl,13,12,ran
Mer Girl,13,12,ran
Mer Girl,13,13,ran
Mer Girl,13,13,past
Mer Girl,13,13,churches
Mer Girl,13,13,crooked
Mer Girl,13,13,mailbox
Mer Girl,13,14,past
Mer Girl,13,14,apple
Mer Girl,13,14,orchards
Mer Girl,13,14,lady
Mer Girl,13,14,talks
Mer Girl,13,15,hills
Mer Girl,13,15,ran
Mer Girl,13,15,cemetery
Mer Girl,13,16,held
Mer Girl,13,16,breath
Mer Girl,13,16,death
